supplier_name,supplier_country,supplier_state,supplier_city,supplier_type,is_active,source_system,source_supplier_id
PFIZER INC,,,,Public Procurement Recipient,True,USAspending,SUP-8a4f10d8e253
RAM-SYSTEM GMBH,,,,Public Procurement Recipient,True,USAspending,SUP-47b729ec277c
RANGE GENERATION NEXT LLC,,,,Public Procurement Recipient,True,USAspending,SUP-e48319034804
RAPID DEPLOYMENT INC,,,,Public Procurement Recipient,True,USAspending,SUP-90880c4f1784
RAUMA MARINE CONSTRUCTIONS OY,,,,Public Procurement Recipient,True,USAspending,SUP-c5a7f4a7cf5e
RAYTHEON COMPANY,,,,Public Procurement Recipient,True,USAspending,SUP-2a8797fde649
RAYTHEON/LOCKHEED MARTIN JAVELIN JV,,,,Public Procurement Recipient,True,USAspending,SUP-e4b6a484b0f5
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",,,,Public Procurement Recipient,True,USAspending,SUP-b2bf27a344a9
"RELIANCE TEST & TECHNOLOGY, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-4617c5c9da46
RTX CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-a47d07471912
RUSSIA SPACE AGENCY,,,,Public Procurement Recipient,True,USAspending,SUP-8e5072a6cdfa
"SAVANNAH RIVER MISSION COMPLETION, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-63628c44706b
SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,,,,Public Procurement Recipient,True,USAspending,SUP-cb4fd4384424
SAVANNAH RIVER REMEDIATION LLC,,,,Public Procurement Recipient,True,USAspending,SUP-6f59b78e7515
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-fe306d4bce77
SEQIRUS INC,,,,Public Procurement Recipient,True,USAspending,SUP-1bf2f083c534
"SIERRA NEVADA COMPANY, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-18a6b72dedbf
SIKORSKY AIRCRAFT CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-70f60d411da8
